left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
344,908,291,898,338,1161,291,1172,475,1288,428,1330,312,1441,259,1472,1
350,949,303,954,345,1195,293,1214,492,1295,449,1337,289,1456,265,1470,1
348,984,320,994,339,1219,282,1243,494,1299,466,1346,296,1454,268,1463,1
358,999,337,1012,328,1238,286,1259,492,1301,466,1351,307,1451,274,1464,1
360,994,342,1021,310,1240,273,1263,492,1300,460,1345,278,1446,273,1460,1
366,971,353,993,312,1221,259,1239,473,1293,442,1328,272,1454,263,1467,1
381,940,352,950,304,1173,255,1188,459,1270,420,1309,294,1425,265,1464,1
379,891,355,895,301,1133,243,1133,432,1254,384,1293,301,1424,258,1477,1
383,844,350,838,290,1089,252,1094,394,1247,350,1274,307,1415,252,1481,1
378,799,343,793,309,1055,256,1061,367,1247,314,1259,314,1427,250,1474,1
373,776,331,764,308,1043,266,1037,343,1245,278,1251,308,1435,248,1482,1
363,766,321,760,315,1048,279,1036,309,1252,249,1258,297,1438,249,1486,0
354,767,307,761,295,1047,289,1035,295,1250,241,1256,301,1429,247,1482,0
354,768,298,762,304,1051,274,1044,298,1266,243,1266,304,1444,243,1487,0
350,770,290,764,308,1041,278,1035,296,1251,248,1257,302,1426,242,1486,0
341,769,286,756,304,1044,268,1038,292,1259,243,1265,298,1436,243,1485,0
343,773,287,761,306,1050,269,1026,300,1254,244,1266,300,1420,238,1476,0
341,772,298,766,304,1048,249,1048,310,1257,261,1269,298,1429,243,1484,0
352,784,304,778,292,1063,257,1063,346,1252,292,1270,304,1430,245,1489,1
357,822,317,816,294,1092,254,1098,357,1281,323,1293,305,1425,248,1494,1
357,875,319,875,314,1129,265,1135,433,1265,374,1302,336,1422,249,1487,1
363,919,323,924,313,1164,258,1184,459,1279,413,1314,278,1449,263,1464,1
359,957,324,970,311,1194,271,1221,478,1291,443,1335,302,1418,271,1467,1
356,987,326,1004,326,1214,274,1244,488,1299,454,1346,304,1436,274,1462,1
352,1009,326,1013,326,1235,279,1269,492,1298,467,1345,305,1443,275,1456,1
361,1002,323,1007,327,1233,277,1254,491,1300,461,1350,306,1451,277,1459,1
349,965,322,983,318,1208,277,1230,488,1293,448,1343,619,1329,268,1464,2
340,930,316,935,321,1186,287,1196,471,1278,432,1336,282,1438,258,1471,1
