left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
216,53,204,54,204,127,195,129,207,177,204,177,178,211,176,212,0
217,81,205,82,199,147,189,150,214,187,213,187,257,179,178,212,1
219,104,205,106,207,161,194,161,246,150,216,193,254,181,178,210,2
215,127,204,130,203,171,181,180,239,150,224,196,255,184,184,213,3
215,127,204,127,191,173,178,179,225,193,214,199,184,200,179,210,1
217,113,202,114,196,159,178,165,220,186,217,187,185,201,179,209,1
215,83,201,87,196,140,180,144,214,179,209,183,260,179,176,213,1
214,66,200,67,196,127,181,131,214,165,200,175,256,180,175,213,1
214,44,197,47,199,116,185,118,194,169,188,169,176,211,175,214,0
212,39,198,40,200,114,190,115,187,166,183,168,174,210,174,213,0
215,42,196,40,203,115,190,113,184,168,181,168,177,210,174,213,0
214,43,197,41,203,116,191,116,189,168,182,168,175,211,174,214,0
212,41,198,43,203,115,191,115,192,168,186,170,177,211,174,214,0
211,49,204,50,198,123,192,123,200,174,198,174,177,210,175,213,0
216,61,206,63,199,133,192,136,213,177,204,179,260,177,176,210,1
216,80,206,83,201,145,189,150,214,176,214,183,263,176,177,209,1
226,119,206,118,202,163,186,169,229,176,219,191,259,180,178,209,2
213,128,201,133,197,172,176,182,240,145,222,194,256,178,179,211,3
216,119,204,121,186,166,176,170,216,186,213,190,182,202,177,208,1
213,104,202,104,188,153,175,157,215,178,213,183,257,177,176,208,2
210,82,204,85,189,140,178,142,218,166,208,179,253,175,174,211,1
210,55,199,57,191,123,181,123,196,171,196,171,173,202,173,202,0
210,44,197,48,194,115,184,117,191,167,189,170,174,209,173,213,0
207,38,194,40,197,114,188,114,188,165,183,167,180,200,172,210,0
210,42,192,42,200,118,189,118,188,169,178,169,182,195,172,212,0
209,40,191,43,203,116,191,116,191,166,181,166,181,199,172,211,0
210,40,189,43,205,117,192,117,197,165,182,166,182,196,173,211,0
208,43,192,43,203,116,193,116,186,168,180,167,182,196,172,212,0
208,41,192,43,205,116,192,116,186,169,180,168,182,193,173,212,0
208,42,193,42,203,117,191,118,185,169,179,169,184,195,173,213,0
207,40,193,43,204,116,190,118,188,168,179,168,182,197,173,214,0
205,44,193,46,202,119,190,119,187,169,181,169,181,198,173,214,0
205,42,193,46,199,117,193,115,189,168,180,167,183,198,173,213,0
