left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
306,174,275,166,277,278,251,276,298,352,267,362,293,430,241,462,1
306,187,281,182,270,288,247,285,309,350,273,363,294,430,242,466,1
313,203,281,199,267,302,245,295,313,353,276,367,293,428,240,461,1
309,212,282,216,272,314,243,305,316,353,277,367,293,428,240,460,1
314,233,281,235,281,331,240,319,320,358,277,372,292,428,240,460,2
314,254,274,246,280,336,235,334,322,363,280,373,292,429,241,461,2
311,264,282,264,274,347,228,343,326,366,282,373,291,427,238,462,2
310,271,277,277,283,352,229,354,321,368,279,376,292,425,237,462,2
313,300,283,288,256,366,228,366,320,368,278,382,292,426,237,460,3
311,305,282,299,252,380,225,380,327,370,280,382,290,432,235,461,3
311,306,281,301,253,381,224,381,326,371,279,384,290,432,234,461,3
308,296,281,293,252,373,224,373,325,371,278,382,288,434,233,462,3
307,283,277,283,250,357,224,353,314,368,274,377,287,431,233,460,2
305,279,279,273,253,351,219,349,313,370,273,373,285,434,232,462,2
306,273,282,261,236,336,219,332,302,364,266,371,284,431,233,462,2
304,260,282,253,264,333,219,319,298,359,260,369,282,430,231,461,2
303,246,274,240,259,329,213,313,297,357,257,365,282,431,230,463,2
301,242,279,236,255,324,218,311,299,357,255,365,282,429,229,462,2
302,226,273,223,260,325,222,308,298,350,258,367,280,432,229,465,2
301,210,271,205,264,315,229,306,301,357,259,369,282,432,229,464,2
305,199,276,199,259,298,232,296,300,361,259,368,281,431,228,463,1
305,183,274,180,264,289,240,284,297,363,258,366,279,430,230,461,1
304,173,272,167,269,280,245,274,285,355,253,360,280,430,229,462,1
302,165,270,157,272,274,248,269,281,361,245,364,281,429,229,462,0
299,161,270,156,275,272,254,266,281,355,243,363,281,428,227,460,0
301,162,272,157,277,273,255,265,280,354,242,363,280,430,228,457,0
301,162,272,154,280,271,255,266,282,350,244,361,280,424,228,459,0
304,168,272,157,275,271,251,268,291,346,256,360,283,427,229,459,0
304,173,272,168,275,278,248,273,298,350,264,360,285,424,232,458,1
307,185,276,178,276,286,250,281,307,361,268,363,286,425,232,456,1
307,191,277,186,277,295,249,287,315,361,277,366,287,424,231,457,1
307,196,279,191,277,296,249,291,319,356,279,368,287,426,232,458,1
307,196,280,188,285,301,255,296,325,361,282,371,287,426,235,456,1
310,184,276,178,292,292,260,287,318,363,279,368,287,429,234,461,1
311,157,276,152,292,265,263,262,300,348,268,354,292,424,238,453,0
322,150,274,133,294,255,266,249,300,346,266,343,297,411,240,445,0
328,156,281,151,292,270,266,263,310,346,271,353,292,421,235,452,1
