left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
1023,272,1011,266,981,556,958,550,993,780,952,780,1005,993,975,969,0
1022,273,1017,267,993,556,958,538,993,780,969,780,1005,992,969,969,0
1033,274,1018,270,1003,561,998,551,998,784,969,774,1006,930,1006,930,0
1036,268,1025,262,1009,547,1014,547,986,776,986,771,1003,994,997,983,0
1028,285,1001,285,1044,562,1044,562,974,779,995,779,1001,997,1001,980,0
1010,321,978,316,1091,580,1037,580,956,769,946,758,999,990,989,974,0
1005,369,989,358,1113,622,1067,612,958,777,937,757,1005,994,1005,989,1
989,418,983,401,1132,653,1075,653,943,779,932,751,1000,997,972,951,1
991,440,974,435,1128,676,1078,670,941,780,930,764,1002,994,974,961,1
989,444,978,444,1129,680,1059,664,941,782,925,756,1000,997,978,965,1
996,386,966,386,1106,640,1041,631,932,780,937,775,1001,984,1001,984,1
1014,332,970,327,1097,605,1033,596,945,762,1107,796,1002,980,1131,953,0
1014,288,981,288,1052,565,1024,565,959,760,981,765,1003,988,1138,933,0
1021,263,1001,258,1016,545,992,540,992,779,1104,779,999,903,1135,903,0
1014,264,998,269,998,547,966,542,1003,794,977,794,1008,967,974,975,0
1024,271,1000,266,990,556,960,541,995,783,975,783,1012,923,1012,923,0
