left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
1047,371,984,355,1019,525,980,525,1011,648,952,655,1011,766,920,786,0
1041,376,977,356,1017,529,977,521,1013,645,953,653,1009,766,920,782,0
1040,370,976,350,1016,524,976,520,1012,646,951,654,1008,767,919,783,0
1036,374,971,353,1020,524,971,524,1008,646,951,655,1008,765,918,781,0
1034,370,968,354,1005,526,952,526,1017,644,948,652,1009,763,919,783,0
1034,373,969,357,993,531,945,527,1026,640,949,652,1010,761,921,781,0
1040,392,970,376,982,544,935,540,1029,645,947,657,1009,762,920,785,0
1039,415,972,390,981,555,927,551,1039,642,948,663,1010,762,919,787,1
1039,424,973,410,977,570,926,570,1046,651,951,669,1010,767,922,796,1
1034,433,974,425,974,581,922,581,1050,649,954,673,1010,765,918,789,1
1043,453,976,449,972,599,922,599,1059,653,959,678,1009,761,922,791,2
1038,475,980,466,983,611,928,618,1067,656,964,685,1009,766,922,792,2
1041,522,986,511,986,648,929,648,1081,666,969,694,1012,766,920,797,2
1040,547,987,542,998,674,935,671,1087,666,966,700,1011,766,927,787,3
1045,572,990,564,1012,680,958,691,1094,675,988,710,1015,764,936,783,3
1056,577,991,556,1005,687,943,684,1094,675,985,707,1014,769,937,784,3
1049,560,996,540,999,670,939,673,1090,673,989,701,1014,768,936,781,3
1049,544,997,528,997,656,941,656,1087,671,984,696,1012,767,935,783,2
1065,539,996,513,1012,645,933,638,1085,671,989,688,1016,767,936,781,2
1052,504,1001,495,988,633,933,630,1078,665,988,685,1014,772,933,788,2
1053,466,1000,455,993,596,940,592,1074,659,986,677,1014,769,933,786,1
1047,427,996,419,984,578,936,570,1059,653,980,665,1011,769,932,785,1
1041,374,982,370,994,537,940,530,1029,642,959,654,1010,762,928,778,0
1039,372,978,356,998,527,949,519,1014,645,949,649,1006,767,925,780,0
1027,367,974,350,1003,524,957,520,1007,648,945,652,1007,767,928,784,0
1029,364,970,351,1004,526,958,518,1004,647,945,651,1008,764,924,781,0
1047,374,966,354,1011,523,958,519,999,649,946,649,1007,766,926,778,0
1034,367,968,350,1001,520,959,516,1001,649,947,649,1005,764,926,781,0
1030,366,968,349,1001,523,959,519,1005,647,947,647,1009,767,926,779,0
