left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
164,68,163,65,164,112,166,110,159,151,165,150,162,189,163,187,0
165,67,160,65,165,115,168,114,162,152,168,150,161,188,163,185,0
165,68,158,64,168,115,167,114,159,154,160,152,160,190,163,182,0
164,67,159,64,167,116,168,114,160,155,166,152,161,188,163,182,0
163,68,159,64,169,116,169,114,160,155,166,152,161,190,163,183,0
162,68,159,65,169,115,170,113,159,153,167,152,160,189,164,181,0
162,69,164,67,169,117,174,115,158,153,161,153,161,190,163,183,0
161,70,166,69,171,117,174,117,158,153,160,153,161,191,163,184,0
161,72,160,68,173,118,174,118,158,153,160,153,161,190,163,183,0
162,74,161,69,173,120,178,119,158,153,161,153,161,190,161,183,0
161,75,160,71,173,121,179,120,157,153,160,153,161,190,164,184,1
162,76,158,73,175,122,180,121,156,153,162,153,161,191,162,184,1
161,78,161,75,173,124,182,123,156,152,161,153,161,191,161,184,1
161,80,159,76,178,125,183,124,155,152,162,152,161,190,162,183,1
161,82,157,78,181,126,185,124,155,153,154,152,161,190,164,183,1
160,84,157,80,182,127,186,126,154,153,161,153,161,190,161,180,1
160,85,156,81,182,128,185,126,153,153,154,153,160,191,161,180,1
158,88,159,85,182,131,186,130,153,153,162,156,160,191,160,190,1
158,89,158,85,181,131,186,130,152,155,162,156,161,191,161,190,1
159,91,158,88,181,132,188,132,151,154,162,156,160,191,161,190,1
159,94,159,92,182,133,186,132,151,155,162,158,160,191,162,183,1
159,95,157,93,184,136,184,135,150,157,161,159,161,191,163,189,1
160,98,157,95,183,138,186,136,151,156,161,161,161,192,163,190,1
160,99,159,96,182,138,186,138,149,157,161,161,161,192,162,190,1
157,101,157,97,182,139,186,139,149,156,161,159,160,191,163,178,1
158,103,160,99,183,141,186,141,150,156,161,162,160,190,162,180,1
158,104,157,100,183,143,187,143,149,156,149,148,160,191,161,181,2
158,106,160,102,184,145,188,144,149,156,149,150,161,191,163,178,2
158,106,159,103,185,146,185,146,150,157,148,153,160,191,162,182,2
158,108,159,104,185,147,185,147,149,157,147,154,160,191,161,182,2
159,108,155,103,184,147,184,147,149,156,147,152,160,191,161,181,2
159,107,157,103,183,146,186,146,148,156,148,151,160,191,161,180,2
160,103,159,101,183,144,185,144,148,155,152,152,161,193,163,179,2
160,100,157,98,183,141,185,140,149,153,149,151,160,192,163,178,2
160,96,159,93,182,138,185,137,150,155,160,160,161,192,164,178,1
160,92,159,89,179,135,183,134,150,152,160,161,161,191,162,191,1
162,88,157,84,178,132,185,130,151,153,162,157,161,191,163,184,1
161,82,159,80,178,127,182,126,153,155,163,157,160,192,160,189,1
160,79,159,75,176,126,180,125,153,153,164,156,160,191,163,182,1
162,75,159,72,172,122,178,120,156,152,166,155,161,191,163,188,0
162,72,161,70,172,120,179,119,156,151,163,153,160,190,161,184,0
163,70,159,67,170,118,177,116,158,152,167,154,160,191,164,180,0
163,68,161,65,170,118,175,117,159,153,163,153,160,191,161,184,0
165,68,161,65,170,117,170,116,162,155,165,155,161,189,161,186,0
166,67,161,64,167,117,169,116,162,155,166,154,161,190,161,187,0
166,68,161,64,168,117,170,116,161,154,169,153,161,190,161,184,0
166,68,165,65,169,114,169,113,161,152,168,150,161,190,164,180,0
166,67,162,65,166,117,169,115,162,154,164,152,161,189,162,183,0
165,68,165,65,165,116,170,115,161,154,164,154,161,189,161,185,0
166,68,166,66,166,116,166,116,160,154,162,152,162,191,160,188,0
166,68,166,66,166,116,166,115,159,154,160,154,160,190,160,187,0
166,67,166,66,166,116,168,116,160,154,160,154,161,190,161,187,0
165,67,165,66,165,117,169,115,160,155,160,154,161,190,161,186,0
166,68,166,65,166,116,165,116,160,154,160,154,161,191,160,187,0
165,67,166,66,165,117,168,116,161,154,159,152,161,189,162,181,0
