left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
323,297,263,276,277,402,225,395,344,438,285,443,294,538,237,555,2
313,310,264,296,285,421,227,414,347,444,287,441,296,534,236,552,2
321,331,266,318,288,438,224,436,349,445,285,445,294,535,235,552,3
317,314,267,300,262,411,208,404,331,437,288,435,293,536,236,553,2
318,310,266,289,261,402,207,393,328,433,285,431,292,539,236,554,2
314,301,265,286,267,393,208,386,324,433,282,430,292,537,235,552,2
304,172,253,155,284,308,250,301,294,420,250,416,291,535,230,549,0
300,179,252,156,287,303,252,299,297,420,255,417,291,537,235,553,0
302,191,251,169,289,316,251,312,308,424,264,424,292,539,235,552,0
301,190,252,174,288,318,252,309,316,423,270,423,291,536,236,548,0
302,182,256,166,296,312,256,309,312,422,266,422,289,542,236,552,0
