left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
977,228,972,208,936,430,916,430,926,603,936,592,916,800,921,815,0
975,219,975,219,928,454,907,433,912,615,918,615,912,808,912,824,0
993,256,973,222,885,436,866,427,910,607,910,607,905,808,910,822,0
1001,278,965,263,899,451,874,441,833,649,925,619,797,853,904,827,0
1011,334,965,269,843,456,848,446,951,605,946,605,923,801,923,810,0
956,596,963,600,951,594,858,571,956,602,938,732,924,824,911,841,0
976,583,860,527,964,598,890,598,947,732,856,531,918,839,918,839,2
1004,608,1004,613,854,622,883,608,1009,619,1009,619,936,818,911,837,2
984,605,1012,608,885,608,997,654,963,734,963,734,939,815,916,836,0
994,604,997,602,853,594,881,580,999,606,999,604,936,816,919,835,2
997,605,1004,605,967,592,879,585,997,607,997,605,914,839,914,837,1
964,213,964,213,928,431,918,431,933,599,928,599,908,802,913,822,0
