left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
970,370,1050,400,1003,497,1013,487,993,644,1013,637,1006,801,1006,791,0
989,379,1052,406,989,495,1025,495,995,645,1015,641,1009,801,1009,794,0
966,365,1044,372,977,490,1024,490,997,652,1010,635,1010,800,1010,790,0
973,358,1049,386,990,483,1022,476,994,639,1018,632,1008,794,1011,791,0
974,355,1046,386,994,472,1022,472,994,636,1022,612,1008,794,1008,787,0
974,355,1047,390,974,479,1019,472,992,638,1019,607,1005,793,1005,786,0
975,355,1050,389,978,482,1019,485,992,636,1019,633,1006,797,1009,787,0
977,349,1056,390,980,476,1025,476,991,622,1025,612,1008,797,1008,786,0
971,358,1050,389,988,482,1026,482,992,639,1016,632,1005,794,1005,787,0
963,354,1046,385,973,482,1018,485,990,637,1022,603,1004,793,1004,789,0
1046,406,1050,402,1012,575,987,561,984,678,1001,685,1001,792,1005,785,0
1025,411,1019,398,1019,575,985,565,972,679,982,682,999,792,999,782,0
1036,457,963,479,1023,606,982,593,948,697,979,700,1001,795,1001,789,0
1010,538,947,535,1044,659,1002,654,944,699,868,630,1002,796,1002,796,3
1009,553,962,545,1041,669,998,661,943,698,930,748,1001,795,998,779,2
1000,563,939,555,1032,683,1013,681,937,700,928,697,997,785,997,771,3
1005,580,927,576,1032,690,996,680,927,704,927,701,994,785,989,773,2
997,584,918,580,1024,704,932,697,923,708,909,821,995,790,981,778,2
997,583,920,579,1035,708,997,695,922,708,918,708,995,788,995,779,3
1000,575,911,575,1038,695,932,690,927,704,908,709,996,787,986,759,3
989,557,924,559,1037,681,999,667,937,697,932,689,999,794,999,794,2
990,543,1011,537,1061,666,1071,645,945,690,966,687,1000,797,1006,792,2
999,514,915,511,1042,640,1007,635,948,689,988,694,1002,796,1002,788,1
1001,499,970,507,1031,631,990,626,951,689,857,634,1001,794,1006,803,2
1013,507,927,507,1028,614,978,611,951,694,987,688,1001,800,1001,794,0
1012,483,925,471,1037,600,937,573,955,688,985,682,1003,796,1006,787,0
1003,455,976,455,1009,592,999,589,957,694,976,678,1006,799,1006,790,0
1013,416,969,413,996,565,965,559,962,677,982,667,1006,796,1009,786,0
1022,387,1028,384,994,493,957,493,984,630,991,630,1004,790,1004,784,0
1018,392,942,380,992,500,951,494,977,627,992,630,1005,795,1005,786,0
1004,411,958,394,984,554,951,521,981,640,984,644,1004,790,1004,780,0
981,383,1032,390,967,491,1001,491,981,626,984,626,1004,789,1004,778,0
