key,a,b,c,d,e,f,g,h,i
0_x,1.9267914844575553e-05,-8.568420841136438e-05,4.230163125532193e-06,-7.792093439712997e-08,7.597149606970725e-10,-4.7741266221951825e-12,1.9974091024118287e-14,-4.0416871505254196e-17,0.49496318602813455
0_y,0.002251321101309835,-0.00031999402452759083,7.469427080206201e-06,2.2343433701399295e-07,-8.631870589793302e-09,1.0102062374872104e-10,-5.111635471734784e-13,9.6255811594532e-16,0.2959174731464086
0_z,-0.02387033971229553,0.0030097320255727976,-0.0001346882482536645,2.577849040379559e-06,-2.372436293573631e-08,1.0069896017595476e-10,-1.2572528914113304e-13,-1.7679438983674914e-16,-0.24568173574005253
1_x,0.0008096777985236058,-0.00014757683717656525,6.56906893916891e-06,-1.274073524447565e-07,1.3504083453746831e-09,-8.602206082663307e-12,3.21131522899825e-14,-5.4268236261840644e-17,0.5031717526632449
1_y,0.002649854752195807,-0.00034205775752352985,8.089608864520667e-06,2.0933295925797852e-07,-8.398755161179518e-09,9.87575831982229e-11,-4.999241704415677e-13,9.405355320855933e-16,0.30855224547781585
1_z,-0.025789658519243176,0.0032956543528341194,-0.0001513427338203726,3.0602499733788345e-06,-3.13352251171197e-08,1.6714692081660474e-10,-4.2682139254185525e-13,3.7478749533256692e-16,-0.1551814617909325
2_x,3.409249801973154e-05,-0.00011876296288694911,6.2943738970025656e-06,-1.2960540918160135e-07,1.4322570800126869e-09,-9.619595896260942e-12,3.8376002609636425e-14,-6.921601168388069e-17,0.4798058940868604
2_y,0.002434745282566743,-0.0003234005057267705,7.39360136661017e-06,2.250131539728225e-07,-8.623230987379923e-09,1.0068528896552609e-10,-5.088064182384513e-13,9.5727662341278e-16,0.30998298104275407
2_z,-0.02534492490188235,0.003223148954898343,-0.00014726473436293828,2.9532667584480826e-06,-2.977102348683116e-08,1.5403229479290675e-10,-3.6833200571141096e-13,2.679967984105169e-16,-0.16727935945092004
3_x,0.0004040886252816977,-5.612612281401228e-05,1.5476017228122168e-06,-7.521701623289386e-09,-1.3173700970830214e-10,1.2363696226846016e-12,-7.433420825798445e-16,-1.1762321968048578e-17,0.5798221829919964
3_y,0.001902751087998078,-0.00023162752016179036,4.400637428810347e-06,2.186807532679367e-07,-7.3249279151294705e-09,8.205231555735228e-11,-4.0283211375515345e-13,7.384685609385258e-16,0.3544101909928332
3_z,-0.02730669514256737,0.003708880021784043,-0.0001835472156073756,4.1969893824731505e-06,-5.111759514962046e-08,3.45434481088013e-10,-1.2279193651264545e-12,1.796093390406796e-15,0.031705716437568504
4_x,-4.541685661849487e-06,-3.6210142899152954e-05,5.019043380909002e-07,4.588028329539988e-08,-1.3478157816477163e-09,1.4380336481744497e-11,-6.852338500340721e-14,1.2293892147932093e-16,0.3660793574402707
4_y,0.0009480242841978997,-0.00012288370518121348,-1.5080174094613203e-06,3.852035844359258e-07,-9.828119659503304e-09,1.0226657313809005e-10,-4.855513819832578e-13,8.730414451477265e-16,0.3634298450585824
